athlete_id,first_name,last_name,sport,position,school,grad_year,contract_tenure_renewal,earning_trajectory_vs_cohort,market_depth_demand,revenue_source_diversification,season_adjusted_earnings,off_field_revenue_stability,post_career_transition,top3_sponsor_dependency,category_diversity_index,renewal_rate_vs_industry,sponsor_credit_quality,contract_duration_distribution,authentic_reach_vs_followers,conversion_clickthrough,audience_demographic_alignment,content_consistency,platform_diversification,brand_safety_index,ncaa_eligibility_status,transfer_portal_probability,draft_timeline_declaration,academic_standing,conference_realignment_impact,position_specific_injury_rate,historical_medical_record,workload_snap_count_trends,recovery_timeline_model,insurance_availability,sentiment_analysis,controversy_exposure_index,brand_safety_classification,media_cycle_resilience,community_standing
ath-001,Marcus,Williams,Football,QB,Ohio State,2027,76,89,94,82,85,81,99,88,89,82,79,96,98,87,82,82,81,84,78,95,89,96,94,78,89,79,97,87,87,87,82,76,77
ath-002,Jaylen,Carter,Football,WR,Alabama,2026,94,92,89,84,88,85,78,79,76,78,85,79,71,83,74,81,78,75,72,94,83,72,94,80,87,74,83,94,75,86,80,81,88
ath-003,Devon,Brooks,Football,RB,Texas,2027,67,82,82,65,64,66,78,72,69,75,76,65,87,71,81,69,79,85,74,74,85,74,86,71,82,84,81,76,83,76,70,71,70
ath-004,Tyler,Richardson,Football,LB,Georgia,2026,69,72,74,60,70,69,58,75,67,69,80,61,68,65,68,64,67,75,80,58,69,78,71,61,68,61,77,67,60,72,66,64,67
ath-005,Caleb,Morrison,Football,DE,Michigan,2028,61,68,58,60,77,58,69,65,72,56,62,58,60,57,76,70,67,65,65,62,60,62,63,63,61,61,56,70,63,53,61,66,58
ath-006,Isaiah,Green,Football,CB,USC,2027,69,70,71,67,54,60,53,69,67,72,56,63,64,69,51,64,72,71,51,57,49,61,52,60,52,67,54,53,56,66,58,71,62
ath-007,Xavier,Thompson,Football,TE,Penn State,2026,54,58,65,55,54,45,61,47,57,58,51,52,48,63,55,59,55,44,58,59,47,62,48,44,54,61,66,56,44,59,52,55,52
ath-008,Jordan,Mitchell,Football,OT,Oregon,2027,47,58,58,60,51,39,56,44,53,39,49,53,59,46,59,61,49,50,59,39,39,50,51,48,51,54,52,53,41,57,57,61,48
ath-009,Andre,Johnson,Football,S,Clemson,2026,35,44,57,56,43,41,57,52,42,40,35,55,48,55,51,53,37,44,34,40,39,43,51,50,39,43,52,48,45,52,52,39,38
ath-010,Malik,Davis,Football,DT,LSU,2028,44,34,37,34,43,31,42,37,31,41,37,37,50,29,30,34,45,48,41,28,47,37,31,32,37,29,35,44,33,29,45,46,30
ath-011,Cameron,Wilson,Basketball,PG,Duke,2027,94,86,85,91,97,80,91,80,86,89,78,83,87,87,80,89,81,85,85,81,90,92,94,83,83,81,76,84,91,96,93,88,85
ath-012,Bryce,Anderson,Basketball,SG,Kentucky,2026,66,89,79,71,84,75,77,70,69,74,88,84,83,83,74,77,80,81,71,84,82,71,70,86,75,86,89,87,75,74,72,79,85
ath-013,Elijah,Thomas,Basketball,SF,Kansas,2027,79,80,69,62,65,68,76,79,75,79,66,75,80,61,69,69,81,74,66,68,83,78,70,71,63,62,65,80,78,68,60,60,65
ath-014,Derek,Jackson,Basketball,PF,UNC,2026,62,71,78,66,67,75,58,79,62,77,70,61,57,69,69,68,59,77,78,74,75,68,63,61,58,80,61,78,77,70,76,60,73
ath-015,Noah,White,Basketball,C,Gonzaga,2028,57,73,54,73,52,73,72,69,69,73,56,59,54,53,61,71,68,53,55,71,56,59,68,58,56,62,53,57,74,61,55,65,69
ath-016,Ryan,Harris,Football,QB,Oklahoma,2027,92,95,86,94,89,99,93,90,99,89,99,85,96,79,98,85,99,87,81,88,97,99,87,99,85,92,98,89,97,93,80,94,99
ath-017,Justin,Martin,Football,WR,Florida,2026,82,70,80,70,80,76,78,82,88,70,68,82,83,75,73,77,84,83,88,70,80,85,68,74,73,72,75,70,81,68,86,67,77
ath-018,Aaron,Garcia,Football,RB,Notre Dame,2027,78,81,65,71,63,77,65,63,68,67,82,63,63,71,68,80,71,76,64,65,83,82,81,72,76,71,79,66,72,77,75,68,71
ath-019,Chris,Lee,Football,LB,Tennessee,2026,62,47,58,66,63,59,68,64,57,51,60,65,47,52,60,64,55,62,65,70,67,67,56,64,54,63,50,47,62,57,70,54,61
ath-020,David,Robinson,Football,DE,Miami,2028,61,54,61,59,54,43,64,52,56,58,51,43,47,63,62,57,44,41,47,59,42,57,58,53,54,58,51,56,42,60,64,55,65
ath-021,Brandon,Clark,Football,CB,Auburn,2027,53,44,59,44,59,38,40,49,55,58,52,43,59,51,37,39,37,36,59,42,55,57,37,38,42,58,51,42,46,55,51,55,60
ath-022,Eric,Lewis,Football,TE,Wisconsin,2026,34,42,39,39,31,33,32,47,32,50,31,49,44,39,33,48,39,35,53,42,42,38,43,33,35,33,47,38,41,44,42,38,38
ath-023,Kevin,Walker,Football,OT,Iowa,2027,29,37,30,46,36,41,36,44,39,33,36,47,35,28,47,42,41,38,30,42,27,45,39,35,31,33,40,28,43,26,33,30,38
ath-024,Nathan,Hall,Football,S,Colorado,2026,33,29,34,25,26,34,32,32,41,26,42,29,23,30,33,40,43,29,37,31,40,41,38,31,27,37,45,24,41,29,30,44,34
ath-025,Trevor,Allen,Football,DT,Arizona,2028,21,33,31,36,24,20,17,24,34,38,21,31,28,32,24,18,18,27,31,25,27,40,21,39,21,21,38,17,36,38,18,35,34
ath-026,Patrick,Young,Basketball,PG,UCLA,2027,80,69,76,83,72,89,76,84,84,89,78,86,89,70,89,71,73,68,69,86,92,78,92,78,83,72,73,70,77,68,70,91,76
ath-027,Sean,King,Basketball,SG,Villanova,2026,84,86,65,66,77,65,77,71,82,65,62,73,62,70,73,68,68,66,74,76,66,73,63,67,63,68,66,81,70,84,78,72,70
ath-028,Austin,Wright,Basketball,SF,Baylor,2027,71,64,58,74,58,56,67,74,55,63,55,57,56,60,54,75,59,55,61,60,70,55,71,65,56,59,54,59,70,55,60,74,67
